suscripcion_id,cliente_id,paquete,plan_internet,plan_tv,plan_telefonia,addon_1,addon_2,precio_mensual_mxn,estatus,motivo_cancelacion,fecha_inicio,fecha_fin,contrato_meses
SUS-200126,CLI-100214,Solo Internet,100 Mbps,N/A,N/A,Netflix,Ninguno,464.62,Activo,N/A,2020-10-01,,18
SUS-200127,CLI-100134,Doble Play Internet+Teléfono,200 Mbps,N/A,Nacional Ilimitado,WiFi Mesh Extender,Multiroom TV,432.76,Pendiente de Pago,N/A,2020-02-20,,12
SUS-200128,CLI-100038,Solo Internet,50 Mbps,N/A,N/A,Netflix,Ninguno,559.24,Suspendido,N/A,2021-02-14,2021-08-26,18
SUS-200129,CLI-100225,Doble Play Internet+Teléfono,20 Mbps,N/A,Nacional Ilimitado,Multiroom TV,HBO Max,519.89,Activo,N/A,2025-06-11,,24
SUS-200130,CLI-100010,Doble Play Internet+Teléfono,500 Mbps,N/A,Nacional Ilimitado,Seguridad Digital,Ninguno,675.25,En Instalación,N/A,2023-09-19,,18
SUS-200131,CLI-100006,Doble Play TV+Internet,100 Mbps,TV Premium (200+ canales),N/A,Paramount+,Ninguno,654.46,En Instalación,N/A,2023-05-26,,12
SUS-200132,CLI-100035,Doble Play TV+Internet,500 Mbps,TV Estándar (120 canales),N/A,WiFi Mesh Extender,Paramount+,630.49,Pendiente de Pago,N/A,2024-12-19,,6
SUS-200133,CLI-100049,Doble Play Internet+Teléfono,200 Mbps,N/A,Nacional Ilimitado,Seguridad Digital,Ninguno,645.31,Activo,N/A,2024-07-25,,12
SUS-200134,CLI-100017,Doble Play TV+Internet,20 Mbps,TV Básico (80 canales),N/A,Disney+,DVR en la Nube,711.55,Cancelado,Situación económica,2024-07-10,2024-11-06,12
SUS-200135,CLI-100215,Triple Play Premium,20 Mbps,TV Estándar (120 canales),Nacional Ilimitado,HBO Max,Seguridad Digital,1228.4,Activo,N/A,2025-02-12,,24
SUS-200136,CLI-100163,Triple Play Premium,100 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Paquete Deportes,Ninguno,1038.9,Cancelado,Mudanza fuera de cobertura,2022-09-17,2023-06-15,12
SUS-200137,CLI-100215,Doble Play TV+Internet,200 Mbps,TV Básico (80 canales),N/A,Paramount+,Ninguno,706.13,Cancelado,Precio alto,2021-01-05,2021-09-18,12
SUS-200138,CLI-100174,Triple Play Básico,500 Mbps,TV Básico (80 canales),Nacional Ilimitado,DVR en la Nube,Ninguno,872.45,Activo,N/A,2024-08-04,,12
SUS-200139,CLI-100154,Triple Play Premium,50 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Seguridad Digital,Soporte VIP,1239.63,Activo,N/A,2023-06-05,,24
SUS-200140,CLI-100065,Triple Play Básico,10 Mbps,TV Básico (80 canales),Nacional + 100 min LD,Ninguno,Multiroom TV,898.83,Activo,N/A,2025-11-02,,18
SUS-200141,CLI-100144,Solo TV,N/A,TV Estándar (120 canales),N/A,Paramount+,Velocidad Extra 50Mbps,496.09,Suspendido,N/A,2023-03-03,2023-08-05,18
SUS-200142,CLI-100221,Doble Play TV+Internet,20 Mbps,TV Básico (80 canales),N/A,Star+,Ninguno,690.63,Activo,N/A,2023-05-08,,24
SUS-200143,CLI-100170,Doble Play TV+Internet,100 Mbps,TV Estándar (120 canales),N/A,Soporte VIP,Ninguno,565.48,Cancelado,Cambio a competencia,2020-04-14,2021-04-04,6
SUS-200144,CLI-100150,Solo TV,N/A,TV Premium (200+ canales),N/A,Paquete Deportes,Star+,382.66,Pendiente de Pago,N/A,2022-02-16,,24
SUS-200145,CLI-100233,Solo TV,N/A,TV Premium (200+ canales),N/A,Ninguno,Ninguno,468.12,Activo,N/A,2023-05-14,,12
SUS-200146,CLI-100076,Triple Play Premium,20 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Seguridad Digital,WiFi Mesh Extender,1160.77,Activo,N/A,2022-11-25,,12
SUS-200147,CLI-100091,Triple Play Básico,200 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Canales Premium,Paquete Deportes,854.36,Cancelado,Cambio a competencia,2023-06-11,2024-06-01,24
SUS-200148,CLI-100014,Solo TV,N/A,TV Premium (200+ canales),N/A,Velocidad Extra 50Mbps,DVR en la Nube,344.42,Suspendido,N/A,2020-10-18,2021-05-18,18
SUS-200149,CLI-100106,Triple Play Premium,100 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Disney+,Paquete Deportes,956.29,En Instalación,N/A,2021-09-09,,12
SUS-200150,CLI-100200,Triple Play Premium,100 Mbps,TV Estándar (120 canales),Local Ilimitado,Paquete Deportes,HBO Max,1203.48,Activo,N/A,2021-12-25,,12
SUS-200151,CLI-100148,Triple Play Básico,100 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Disney+,Soporte VIP,888.6,Activo,N/A,2020-12-26,,24
SUS-200152,CLI-100002,Triple Play Premium,200 Mbps,TV Básico (80 canales),Local Ilimitado,HBO Max,WiFi Mesh Extender,1169.7,Activo,N/A,2024-03-08,,12
SUS-200153,CLI-100058,Solo TV,N/A,TV Premium (200+ canales),N/A,Disney+,Ninguno,396.17,En Instalación,N/A,2023-07-02,,12
SUS-200154,CLI-100017,Triple Play Premium,200 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Velocidad Extra 50Mbps,Multiroom TV,1254.19,Activo,N/A,2023-04-06,,12
SUS-200155,CLI-100088,Doble Play Internet+Teléfono,100 Mbps,N/A,Local Ilimitado,Disney+,WiFi Mesh Extender,467.53,Activo,N/A,2022-02-10,,12
SUS-200156,CLI-100055,Solo TV,N/A,TV Premium (200+ canales),N/A,Disney+,Ninguno,411.64,Activo,N/A,2025-08-28,,6
SUS-200157,CLI-100097,Solo TV,N/A,TV Básico (80 canales),N/A,Multiroom TV,Ninguno,414.49,Activo,N/A,2025-12-30,,6
SUS-200158,CLI-100013,Solo TV,N/A,TV Estándar (120 canales),N/A,Canales Premium,Ninguno,367.6,Activo,N/A,2024-12-24,,12
SUS-200159,CLI-100053,Solo TV,N/A,TV Estándar (120 canales),N/A,Paramount+,Ninguno,404.7,Cancelado,Precio alto,2020-02-08,2021-10-22,12
SUS-200160,CLI-100108,Triple Play Premium,10 Mbps,TV Estándar (120 canales),Local Ilimitado,Paramount+,Ninguno,1142.6,Activo,N/A,2021-04-27,,18
SUS-200161,CLI-100213,Solo Internet,20 Mbps,N/A,N/A,Seguridad Digital,Ninguno,310.82,Pendiente de Pago,N/A,2024-01-06,,24
SUS-200162,CLI-100234,Triple Play Básico,10 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Paquete Deportes,Ninguno,747.23,Cancelado,Precio alto,2025-05-22,2025-11-19,6
SUS-200163,CLI-100200,Solo Internet,50 Mbps,N/A,N/A,Paramount+,Velocidad Extra 50Mbps,378.24,Activo,N/A,2021-02-18,,6
SUS-200164,CLI-100026,Triple Play Básico,100 Mbps,TV Premium (200+ canales),Local Ilimitado,Paquete Deportes,Paquete Deportes,627.5,En Instalación,N/A,2023-04-05,,6
SUS-200165,CLI-100003,Triple Play Básico,50 Mbps,TV Premium (200+ canales),Local Ilimitado,Paquete Deportes,Ninguno,710.79,Cancelado,Mudanza fuera de cobertura,2021-11-29,2023-11-25,18
SUS-200166,CLI-100047,Triple Play Premium,100 Mbps,TV Estándar (120 canales),Nacional + 100 min LD,Paramount+,Seguridad Digital,1253.45,Activo,N/A,2025-02-12,,12
SUS-200167,CLI-100029,Triple Play Básico,100 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Ninguno,Ninguno,730.45,Cancelado,Mudanza fuera de cobertura,2020-08-28,2022-07-23,24
SUS-200168,CLI-100200,Doble Play TV+Internet,100 Mbps,TV Básico (80 canales),N/A,Velocidad Extra 50Mbps,Netflix,468.0,Suspendido,N/A,2021-06-19,2022-11-12,18
SUS-200169,CLI-100004,Solo TV,N/A,TV Premium (200+ canales),N/A,WiFi Mesh Extender,Seguridad Digital,305.0,En Instalación,N/A,2025-11-19,,18
SUS-200170,CLI-100133,Solo Internet,500 Mbps,N/A,N/A,Canales Premium,Star+,501.89,Cancelado,Mudanza fuera de cobertura,2021-01-25,2022-04-14,24
SUS-200171,CLI-100039,Solo Internet,200 Mbps,N/A,N/A,HBO Max,Disney+,553.65,En Instalación,N/A,2020-08-11,,24
SUS-200172,CLI-100223,Triple Play Básico,50 Mbps,TV Básico (80 canales),Nacional + 100 min LD,Paquete Deportes,Ninguno,665.81,Activo,N/A,2025-07-06,,24
SUS-200173,CLI-100104,Triple Play Básico,10 Mbps,TV Estándar (120 canales),Nacional Ilimitado,WiFi Mesh Extender,Ninguno,693.82,Activo,N/A,2024-12-24,,24
SUS-200174,CLI-100191,Solo TV,N/A,TV Premium (200+ canales),N/A,Canales Premium,Ninguno,249.04,Activo,N/A,2024-07-10,,6
SUS-200175,CLI-100203,Solo Internet,500 Mbps,N/A,N/A,DVR en la Nube,Ninguno,500.44,Pendiente de Pago,N/A,2023-06-01,,18
SUS-200176,CLI-100094,Triple Play Premium,200 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Paquete Deportes,Ninguno,1185.66,En Instalación,N/A,2025-02-04,,18
SUS-200177,CLI-100184,Doble Play Internet+Teléfono,500 Mbps,N/A,Nacional Ilimitado,HBO Max,Ninguno,563.31,Activo,N/A,2022-06-27,,18
SUS-200178,CLI-100180,Triple Play Premium,500 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Velocidad Extra 50Mbps,Ninguno,1062.68,Activo,N/A,2021-11-03,,18
SUS-200179,CLI-100157,Triple Play Básico,20 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Star+,Ninguno,631.33,Activo,N/A,2024-05-28,,24
SUS-200180,CLI-100012,Solo TV,N/A,TV Premium (200+ canales),N/A,WiFi Mesh Extender,Velocidad Extra 50Mbps,396.33,En Instalación,N/A,2021-05-19,,12
SUS-200181,CLI-100247,Doble Play Internet+Teléfono,200 Mbps,N/A,Nacional Ilimitado,DVR en la Nube,Ninguno,676.31,Activo,N/A,2020-07-17,,12
SUS-200182,CLI-100178,Solo Internet,200 Mbps,N/A,N/A,Netflix,Ninguno,480.85,Activo,N/A,2021-06-09,,18
SUS-200183,CLI-100130,Doble Play Internet+Teléfono,50 Mbps,N/A,Nacional Ilimitado,Paramount+,Ninguno,534.85,Activo,N/A,2022-10-13,,12
SUS-200184,CLI-100036,Doble Play Internet+Teléfono,500 Mbps,N/A,Nacional + 100 min LD,Paramount+,DVR en la Nube,679.65,Suspendido,N/A,2025-09-29,2026-11-14,12
SUS-200185,CLI-100052,Triple Play Básico,500 Mbps,TV Premium (200+ canales),Local Ilimitado,Soporte VIP,Ninguno,750.17,Suspendido,N/A,2023-04-05,2023-11-16,18
SUS-200186,CLI-100182,Triple Play Premium,500 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Multiroom TV,Ninguno,1013.37,Cancelado,No proporcionado,2025-05-21,2026-10-20,24
SUS-200187,CLI-100207,Triple Play Premium,500 Mbps,TV Básico (80 canales),Local Ilimitado,Canales Premium,Ninguno,1005.79,Activo,N/A,2020-04-13,,12
SUS-200188,CLI-100074,Solo TV,N/A,TV Premium (200+ canales),N/A,Seguridad Digital,Star+,257.08,Activo,N/A,2020-09-11,,24
SUS-200189,CLI-100027,Solo Internet,20 Mbps,N/A,N/A,Seguridad Digital,Canales Premium,452.28,En Instalación,N/A,2022-07-07,,18
SUS-200190,CLI-100178,Solo TV,N/A,TV Premium (200+ canales),N/A,Canales Premium,Ninguno,327.16,Activo,N/A,2024-04-11,,6
SUS-200191,CLI-100004,Solo TV,N/A,TV Premium (200+ canales),N/A,Ninguno,Ninguno,425.16,Activo,N/A,2024-12-19,,18
SUS-200192,CLI-100194,Solo Internet,50 Mbps,N/A,N/A,WiFi Mesh Extender,Star+,433.64,Activo,N/A,2022-03-15,,6
SUS-200193,CLI-100048,Triple Play Básico,50 Mbps,TV Básico (80 canales),Local Ilimitado,Canales Premium,Ninguno,774.2,Cancelado,Cambio a competencia,2021-05-03,2023-02-21,18
SUS-200194,CLI-100002,Doble Play TV+Internet,50 Mbps,TV Premium (200+ canales),N/A,HBO Max,Ninguno,464.26,Activo,N/A,2021-09-26,,18
SUS-200195,CLI-100126,Solo Internet,20 Mbps,N/A,N/A,WiFi Mesh Extender,DVR en la Nube,455.18,Suspendido,N/A,2020-10-25,2021-09-05,12
SUS-200196,CLI-100107,Solo Internet,20 Mbps,N/A,N/A,Paquete Deportes,Ninguno,498.0,Activo,N/A,2021-01-11,,18
SUS-200197,CLI-100093,Doble Play TV+Internet,500 Mbps,TV Básico (80 canales),N/A,Velocidad Extra 50Mbps,Ninguno,483.42,Activo,N/A,2025-12-12,,18
SUS-200198,CLI-100115,Triple Play Básico,100 Mbps,TV Básico (80 canales),Nacional Ilimitado,HBO Max,Paquete Deportes,675.98,Pendiente de Pago,N/A,2022-09-25,,18
SUS-200199,CLI-100007,Solo Internet,100 Mbps,N/A,N/A,DVR en la Nube,Velocidad Extra 50Mbps,312.16,En Instalación,N/A,2024-03-15,,12
SUS-200200,CLI-100083,Solo Internet,200 Mbps,N/A,N/A,Disney+,WiFi Mesh Extender,458.96,Activo,N/A,2021-01-28,,6
SUS-200201,CLI-100054,Solo TV,N/A,TV Básico (80 canales),N/A,Ninguno,Ninguno,383.44,Suspendido,N/A,2022-05-23,2022-12-05,24
SUS-200202,CLI-100166,Triple Play Premium,10 Mbps,TV Básico (80 canales),Local Ilimitado,HBO Max,Ninguno,970.2,Cancelado,Cambio a competencia,2021-09-21,2022-01-27,18
SUS-200203,CLI-100143,Triple Play Premium,500 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Paramount+,Ninguno,1025.56,Suspendido,N/A,2022-07-21,2024-01-23,24
SUS-200204,CLI-100173,Triple Play Premium,500 Mbps,TV Básico (80 canales),Nacional Ilimitado,WiFi Mesh Extender,HBO Max,1270.22,Activo,N/A,2020-09-16,,6
SUS-200205,CLI-100075,Solo TV,N/A,TV Estándar (120 canales),N/A,Paramount+,Velocidad Extra 50Mbps,347.78,Activo,N/A,2020-12-20,,6
SUS-200206,CLI-100122,Triple Play Básico,200 Mbps,TV Estándar (120 canales),Nacional + 100 min LD,Seguridad Digital,Ninguno,642.22,Activo,N/A,2021-07-12,,18
SUS-200207,CLI-100246,Triple Play Premium,200 Mbps,TV Estándar (120 canales),Nacional + 100 min LD,Netflix,Ninguno,1118.01,Suspendido,N/A,2021-08-02,2023-06-09,6
SUS-200208,CLI-100079,Triple Play Básico,20 Mbps,TV Básico (80 canales),Local Ilimitado,Star+,Ninguno,665.24,Cancelado,No proporcionado,2023-11-09,2025-07-15,18
SUS-200209,CLI-100050,Triple Play Premium,100 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Ninguno,DVR en la Nube,928.26,Activo,N/A,2020-08-10,,6
SUS-200210,CLI-100065,Triple Play Premium,500 Mbps,TV Premium (200+ canales),Local Ilimitado,Paquete Deportes,Ninguno,939.02,Activo,N/A,2025-06-18,,6
SUS-200211,CLI-100231,Triple Play Básico,500 Mbps,TV Premium (200+ canales),Local Ilimitado,Paquete Deportes,Paramount+,768.67,Activo,N/A,2025-01-19,,18
SUS-200212,CLI-100207,Doble Play TV+Internet,20 Mbps,TV Premium (200+ canales),N/A,HBO Max,Ninguno,670.94,Pendiente de Pago,N/A,2021-11-21,,24
SUS-200213,CLI-100071,Doble Play TV+Internet,50 Mbps,TV Estándar (120 canales),N/A,Velocidad Extra 50Mbps,Ninguno,595.09,Activo,N/A,2023-09-20,,6
SUS-200214,CLI-100045,Solo TV,N/A,TV Estándar (120 canales),N/A,Ninguno,DVR en la Nube,432.39,Suspendido,N/A,2023-02-23,2023-12-11,6
SUS-200215,CLI-100187,Triple Play Premium,200 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Soporte VIP,Ninguno,1206.68,En Instalación,N/A,2025-09-08,,12
SUS-200216,CLI-100233,Triple Play Premium,20 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Soporte VIP,Paquete Deportes,1241.87,Suspendido,N/A,2025-04-17,2026-08-21,12
SUS-200217,CLI-100119,Solo Internet,500 Mbps,N/A,N/A,Paquete Deportes,Ninguno,370.66,Activo,N/A,2024-06-13,,12
SUS-200218,CLI-100194,Solo Internet,200 Mbps,N/A,N/A,Disney+,Ninguno,496.82,Activo,N/A,2021-10-14,,12
SUS-200219,CLI-100189,Solo TV,N/A,TV Estándar (120 canales),N/A,HBO Max,Ninguno,306.94,Activo,N/A,2024-01-09,,18
SUS-200220,CLI-100095,Triple Play Básico,100 Mbps,TV Estándar (120 canales),Nacional Ilimitado,DVR en la Nube,Paquete Deportes,863.47,Activo,N/A,2022-04-26,,6
SUS-200221,CLI-100167,Doble Play TV+Internet,500 Mbps,TV Estándar (120 canales),N/A,Soporte VIP,Ninguno,622.59,Activo,N/A,2025-11-05,,12
SUS-200222,CLI-100097,Solo TV,N/A,TV Básico (80 canales),N/A,DVR en la Nube,Ninguno,378.09,Activo,N/A,2020-11-14,,18
SUS-200223,CLI-100210,Doble Play TV+Internet,20 Mbps,TV Estándar (120 canales),N/A,Multiroom TV,Ninguno,498.68,Activo,N/A,2025-05-28,,6
SUS-200224,CLI-100132,Solo TV,N/A,TV Premium (200+ canales),N/A,Disney+,Ninguno,428.33,Activo,N/A,2021-09-07,,6
SUS-200225,CLI-100170,Triple Play Básico,500 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Seguridad Digital,Ninguno,662.21,Activo,N/A,2023-09-14,,12
SUS-200226,CLI-100166,Doble Play Internet+Teléfono,20 Mbps,N/A,Local Ilimitado,Disney+,Ninguno,587.86,Activo,N/A,2020-06-25,,6
SUS-200227,CLI-100229,Solo Internet,100 Mbps,N/A,N/A,Paramount+,DVR en la Nube,478.81,Activo,N/A,2021-11-12,,6
SUS-200228,CLI-100225,Solo TV,N/A,TV Estándar (120 canales),N/A,Netflix,Ninguno,291.64,Cancelado,Situación económica,2023-03-07,2024-09-29,24
SUS-200229,CLI-100154,Triple Play Básico,100 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Multiroom TV,Paramount+,619.65,Cancelado,Problemas de servicio,2022-01-14,2023-03-30,24
SUS-200230,CLI-100099,Triple Play Básico,500 Mbps,TV Estándar (120 canales),Local Ilimitado,DVR en la Nube,DVR en la Nube,780.65,Activo,N/A,2022-04-08,,12
SUS-200231,CLI-100122,Solo Internet,500 Mbps,N/A,N/A,DVR en la Nube,Netflix,338.1,Suspendido,N/A,2025-12-16,2027-07-22,6
SUS-200232,CLI-100230,Solo TV,N/A,TV Premium (200+ canales),N/A,Canales Premium,Ninguno,381.45,Suspendido,N/A,2025-11-08,2026-03-22,12
SUS-200233,CLI-100241,Doble Play Internet+Teléfono,10 Mbps,N/A,Nacional Ilimitado,Paquete Deportes,Ninguno,439.16,Cancelado,No proporcionado,2024-04-10,2026-02-18,24
SUS-200234,CLI-100197,Triple Play Básico,200 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Paramount+,Ninguno,655.71,Pendiente de Pago,N/A,2020-12-09,,6
SUS-200235,CLI-100148,Solo Internet,50 Mbps,N/A,N/A,Canales Premium,Seguridad Digital,421.65,Activo,N/A,2020-01-30,,6
SUS-200236,CLI-100040,Doble Play Internet+Teléfono,200 Mbps,N/A,Nacional Ilimitado,Paramount+,Canales Premium,696.54,Cancelado,Situación económica,2022-11-04,2024-02-11,24
SUS-200237,CLI-100194,Triple Play Básico,200 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Disney+,Ninguno,895.55,Activo,N/A,2025-05-30,,18
SUS-200238,CLI-100199,Solo TV,N/A,TV Premium (200+ canales),N/A,Ninguno,Netflix,306.44,Activo,N/A,2021-07-19,,12
SUS-200239,CLI-100026,Triple Play Básico,500 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,WiFi Mesh Extender,Ninguno,614.62,Activo,N/A,2023-10-18,,24
SUS-200240,CLI-100247,Solo TV,N/A,TV Premium (200+ canales),N/A,Ninguno,Ninguno,357.84,Activo,N/A,2021-01-08,,6
SUS-200241,CLI-100068,Triple Play Básico,100 Mbps,TV Premium (200+ canales),Nacional + 100 min LD,Seguridad Digital,Ninguno,755.3,Activo,N/A,2020-06-03,,6
SUS-200242,CLI-100243,Triple Play Básico,50 Mbps,TV Básico (80 canales),Local Ilimitado,HBO Max,Ninguno,834.19,Suspendido,N/A,2024-12-03,2026-08-15,12
SUS-200243,CLI-100158,Triple Play Básico,100 Mbps,TV Estándar (120 canales),Nacional + 100 min LD,Star+,Disney+,717.54,Cancelado,Precio alto,2024-01-13,2025-01-19,12
SUS-200244,CLI-100133,Triple Play Premium,200 Mbps,TV Estándar (120 canales),Nacional Ilimitado,Netflix,Ninguno,1284.32,Cancelado,No proporcionado,2020-10-08,2022-08-01,18
SUS-200245,CLI-100058,Solo Internet,50 Mbps,N/A,N/A,Canales Premium,Ninguno,351.51,Pendiente de Pago,N/A,2025-02-05,,6
SUS-200246,CLI-100144,Triple Play Premium,200 Mbps,TV Premium (200+ canales),Nacional Ilimitado,Netflix,Paramount+,1176.68,Activo,N/A,2023-10-24,,24
SUS-200247,CLI-100145,Doble Play Internet+Teléfono,10 Mbps,N/A,Nacional Ilimitado,WiFi Mesh Extender,Ninguno,433.88,Cancelado,Mudanza fuera de cobertura,2023-10-23,2025-09-12,6
SUS-200248,CLI-100098,Solo TV,N/A,TV Estándar (120 canales),N/A,Soporte VIP,WiFi Mesh Extender,378.13,Cancelado,Cambio a competencia,2022-06-21,2023-11-15,6
SUS-200249,CLI-100180,Doble Play TV+Internet,50 Mbps,TV Básico (80 canales),N/A,Canales Premium,Ninguno,615.37,Activo,N/A,2021-01-15,,12
SUS-200250,CLI-100122,Doble Play TV+Internet,20 Mbps,TV Estándar (120 canales),N/A,Disney+,Soporte VIP,670.13,Activo,N/A,2023-01-07,,12
